nickname,roi,mdd,sharpRatio,winRate
蜗牛慢跑呀,121.15119704,42.730367,3.3475265,80.4878
cryptohabercom,119.64465166,26.9036,4.04135508,55.8824
精湛大师,118.524818,0.84494364,,88.3495
CryptoClub557,118.313361,100.0,,47.5806
交易员海洪,118.225559,0.0,,66.6667
TheMonaco,117.896036,15.961368,,93.9394
CryptoTrader9812,117.377334,7.7182971,,83.0769
drakkar67,117.33551752,29.445573,1.05953009,8.3333
0xToTheMoon,117.30931716,2.8011492,6.51254925,91.4286
深圳啊宝,117.25620835,32.950461,5.64150129,36.3636
Moneyhiker,117.08947859,18.277522,1.98754138,56.8182
ARIARDA,116.716833,36.734701,,62.8571
送你一朵小发发,116.37995702,80.878167,3.50947863,53.5354
P4Provider,115.04340607,15.395458,3.77655754,93.5065
RoverJr,114.70808234,36.749878,,59.0909
btcdacong,113.70589244,22.975399,-3.78237659,74.1935
轻易不出手,113.140446,14.303465,,71.0526
Maedre,113.12514338,24.05636,3.55792256,96.8421
Crypto-Falcon,112.60773343,25.384939,2.25996718,64.0449
Cryptoxn,112.52703484,4.6521042,6.99170939,72.2628
BigStar5566,112.45709252,50.003955,3.54041738,94.5496
44042,112.13408368,11.861022,4.40954119,33.3333
FairTradeW,111.03409,21.400226,,89.7674
TradeHard_or_GoHome,110.73460821,6.246249,,74.0741
虎哥量化,110.253606,55.671048,,100.0
子歌社,110.0997236,26.022888,3.37854692,40.4959
KerningCity_Huhsung,110.053034,35.173636,,57.1429
Nupita,109.95832109,4.2263908,5.88338872,98.3333
TraderCES,109.21963747,38.495031,3.68294253,59.0909
九头鳄85,109.207136,0.0,,100.0
李富有,108.54916412,47.590671,3.55333739,33.3333
遲早都要跟我的單為何不一開始就跟,108.432643,7.080392,,92.3077
BAY_NEXUS_TR,108.13002328,34.050398,1.88423113,0.0
DinhNV91,107.711969,7.1206902,,79.085
Nurtopu,107.54960698,37.473332,2.37511958,84.7826
冰糖橙178二号,107.24789804,76.462206,4.41083434,90.2857
CryptoPick24,107.00391628,16.954382,5.00730454,86.1538
Magic_Algo2,106.13860192,7.0781375,7.89635417,99.2257
Tradingcommunity,105.84754945,26.852215,5.27612414,91.3043
B天天向上,105.77470784,64.510545,1.17756345,47.6636
collectcoin,105.67369049,37.201933,6.31282722,43.75
Poti-3,105.32754955,0.0,5.72777785,83.9142
Learnerboy,105.295748,0.0,,50.0
当代利弗莫尔,104.52920001,10.445709,7.05166206,44.6809
Wch999,103.96536,71.984,,66.6667
小龟快跑1,103.640353,0.0,,77.2727
littlebird1,101.242519,23.321771,,70.0
WannaCrazyZz,101.22884338,46.565214,3.88731009,72.5806
幣圈老黃,100.84644955,43.92284,,63.3333
Focusprofit焦點利潤策略交易,100.68566735,8.8747632,6.09634613,59.1837
SuperLuckyMoney,100.59454288,37.181926,2.75893091,31.8182
松栏,100.13300516,2.0701584,7.44806317,60.8
拿回属于我的一切,99.662059,48.987131,,61.7647
MMTradingDesk,98.904441,45.241923,,55.5556
thaieibvn,98.886995,29.616293,,50.0
dream95,98.54876616,59.349574,3.65307403,86.1111
Cassandra_OCTA,98.41561498,11.438007,5.76543257,86.8852
肥樹懶,98.23960234,47.933891,1.85199192,100.0
亿万富翁梦,97.937809,18.859593,,69.5455
KNOTMAIN,97.83040381,1.9175065,6.98151808,75.9947
trade_obmen,97.746962,3.0384289,,92.5926
Salahuddin20041,96.974359,15.899956,,100.0
Metatrade,96.798834,3.7841548,,87.5
WorldCido,96.73824038,36.82554,2.89109031,71.4286
ATaher79,96.437494,62.662023,,60.0
梭了么,96.39943793,4.2276962,3.23611952,100.0
The_bill_is_paid,96.375198,13.304226,,100.0
T-Cosmos,96.12907146,16.773649,3.23640416,80.0
我不是归零膏手,95.854941,22.889067,,82.7586
AnalyticExcellence,95.79057954,26.678883,6.01305767,83.3333
LucidHoang,95.43978749,79.831895,,24.0
Te_Dan,95.245944,33.00507,,91.6216
币圈轩爸,94.236287,8.0296902,,89.2857
Roger_yr,94.096696,13.131219,,97.7987
朱菲特,93.754928,17.149237,,40.0
sanshiv,93.72994281,37.549615,3.58850705,91.3462
DZ-赵短鹏,93.59490678,65.822366,4.00618947,98.3051
币安院长,93.124886,38.977423,,99.2481
Luckytaotao,92.85523378,53.642541,2.58724743,68.9655
禿頭老爹,92.69724262,43.060114,2.27937154,93.7804
BenhVienTraVe,92.35543837,24.614346,2.68319457,72.7273
Schponkk,92.34148,37.045182,,61.9048
陆生,91.112677,16.352663,,100.0
仓老师,90.493729,2.8354755,,60.0
奥迪A8L,90.090232,28.560419,,78.5714
马有才,89.99002014,30.851131,3.13913714,0.0
Criptomarkt,89.968273,19.671001,,97.9167
xx07xx,89.906328,9.4284058,,64.2857
BDN-Bot,89.769302,5.1668768,,97.7778
XXDogeFatherXX,89.76492609,1.6967717,2.89547337,98.7879
B必赢,89.70710507,43.049285,4.50120772,83.3333
BLUE_TR,89.39158459,13.85651,12.71966009,95.4155
五气朝元,89.350873,3.1421402,,83.3333
GoodFelix,89.08243219,44.278843,4.08777928,62.2449
稳健投资,88.757672,20.985221,,71.4286
彌樂天堂,88.67516008,15.105795,4.35288764,98.6056
MrOmarCrypto,88.61598765,12.098468,3.82551252,96.7742
蓝鸟,88.151552,0.0,,58.8235
Sababa007,88.035879,24.271417,,58.3333
Phuongichi,87.98412296,36.40347,2.95551552,35.2941
君安资产003,87.861992,51.629752,,100.0
TheFox007,87.755021,0.0,,85.7143
Savior1802,87.281983,0.0,,100.0
映月水,86.92826995,24.972291,5.06098589,94.3662
DIAMOND_SIGNALS,86.77817811,17.20451,2.6926004,85.8974
CoinBiz,86.63689,35.130784,5.25188939,76.3033
CrystalTABS,86.61209874,40.365917,3.09174855,84.6154
锤锤,86.53654,0.0,,91.6667
MysticTrader123,86.51324384,24.701664,3.53732727,50.0
TonyMao,86.511932,58.041176,,26.087
SatoshiCoinmaker,86.505396,12.673708,,67.1053
hiro-bnb,86.40842464,30.356562,,0.0
mj2thoo,86.14054726,69.692,3.51972335,0.0
Binancie,86.02116264,29.692084,4.54148708,95.3488
El-Guss,85.87720721,54.745105,6.21166418,74.6479
dreameBNB,85.431617,8.4290807,,44.4444
HiCrypto,85.2857568,22.793761,5.12798602,84.5127
种优得优,85.056271,5.163143,,84.2105
SAITUHKAWNG阿杜,84.930411,14.077101,,99.3421
福星高高照,84.407539,18.43849,,96.4286
Spaceforcer,84.404403,32.817133,,70.7792
向U看齐,84.111458,61.052993,,97.7778
静怡Y,84.013752,44.700659,,90.9091
财气通门户,83.80311866,45.168896,3.15495611,0.0
功夫茶财经,83.711913,0.0,,100.0
王阳明-知行合一,83.2385199,16.360373,5.64356785,58.0952
老和尚打單修身養性,82.745844,53.441277,,100.0
西红柿的生活,82.717343,71.256858,,70.0
冲动是一只蘑菇,82.35766,26.789753,,54.2857
楠子,82.18940167,8.7101423,,100.0
MrCyrpto,81.816459,44.967778,,83.3333
Doge2024,81.64753133,24.079405,2.90535913,56.25
JustMe49,81.605812,15.998883,,70.7547
Hip-hop,81.37721161,25.569083,3.9201433,66.6667
VietNamScalper89,81.34938885,40.235667,3.54152512,99.0991
我们儿,81.050273,39.816567,,42.8571
山顶资本-饿了么1号,80.62385268,19.479309,4.77037349,63.1579
春秋冬夏,80.546034,12.413892,,95.0
华尔街强哥,80.47367924,37.72886,2.05628169,69.5652
FlashCrashBot,80.05637437,4.9217718,11.2545654,81.0596
火洋洋,79.58716259,72.478346,3.55554534,71.875
Btc_Ha,79.40476168,39.334533,0.7210142,36.4109
Nebulae,79.391678,4.4137335,,52.0
睡后收入,79.30899481,31.278181,5.87396503,0.0
Sebegu,79.18373567,33.738767,6.90384078,53.3333
Sora9449,78.13871,27.755731,,33.3333
JackChang,78.08975186,11.234724,4.03240941,70.9677
神剑002,78.056142,3.5374271,,59.7015
遍地金银稳稳赚,78.03492625,53.042153,3.56845004,80.9045
1000U實盤挑戰,78.03022595,21.437842,5.01092462,89.8734
潇聲匿迹,77.98854702,43.289514,4.91526284,81.3953
ProfitManiac,77.87529552,7.1998218,8.39847447,79.6089
荒-独断万古,77.734053,23.977457,,80.9524
Phanthangsg,77.28325584,13.760065,7.31777791,93.8889
CrypTolitz,77.1188059,18.552734,3.76136869,100.0
CHAODOI-AI,76.91588697,7.4901494,5.71065219,99.3572
The_Coin_Stalker,76.84903092,5.3864932,3.68726826,96.0
MattySol,76.798667,45.237165,,43.8596
CryptoGenus7,76.544612,12.411611,,82.8283
LongMonster,76.253622,28.588722,,94.4444
BlueBlood45,75.53467435,2.7522503,0.73009086,66.6667
TheCannes,75.383048,14.56415,,100.0
LowRiskAlpha,75.22455979,8.6089805,8.59459951,73.0475
Ajj马丁格尔,75.036277,26.209806,,36.3636
SiBattt,75.00052487,58.434624,4.15694372,58.3333
nhatvechai88,74.63432748,26.911726,3.88389729,64.2857
x2King,74.61374325,24.438519,2.82652514,30.4348
马得水fans,74.599631,46.059123,,73.6842
Mamypoko,74.52439045,28.056054,1.97751474,97.9592
sov_td,74.522599,18.873,,82.2581
最稳定,74.33263394,26.588058,0.62870928,71.4286
My-Trades,73.74388802,26.537504,4.8641812,92.8571
linkboy1980,73.633786,34.801134,,60.0
tolive,73.024583,25.078887,,55.3846
嗝神,72.715116,24.204062,,85.7143
木子和海龟,72.287685,41.133293,,42.8571
马哥哥89590907,72.2404589,53.708623,2.2733871,56.8182
StrongQuant,72.188124,33.716725,,96.9697
Trader_AT,72.17049783,44.471256,2.1715602,80.0
TheAsher,72.163783,61.081518,,85.2941
赌徒心理,71.932511,11.222033,,75.0
Rai-Trading-group,71.918355,25.316031,,86.6091
AI自动化交易,71.858561,5.4696705,,69.637
韭菜花1,71.598542,40.017376,,95.2381
X01X,71.56593888,63.276606,2.55158313,37.7778
Jayzilla,71.500524,90.774834,,49.0196
Exp0sure,71.47622905,45.441649,3.83491442,98.7593
TraderFerdi,71.461857,42.51992,,64.8649
Wolf-AI,71.40215343,9.1774041,6.18214202,74.2063
ATA_Stars,71.27364656,2.6235014,1.49949549,96.7033
ArbitrageTrader,71.206376,0.59758623,,90.4762
UltrechTorito,71.03870674,25.575746,3.36345466,75.5056
P4PTI,70.78915267,51.083071,4.10043747,78.481
茶包,70.47824135,25.736579,3.66406175,0.0
Mumuyay,70.230518,13.56119,,68.8889
爆仓战神,70.002142,30.429745,,77.2727
Bro要敬畏市场,69.97277316,21.683423,4.63594085,47.619
Xpert-Trader,69.95291,45.419741,,62.069
萤火,69.863222,36.324106,,72.7273
Luay1411,69.790349,74.819918,4.08716577,92.5466
Haxnoofficials,69.623402,10.73563,,98.9362
莱茵小镇,69.48577,27.753882,,66.6667
布欧buou量化日记,69.45890307,8.9158263,1.46381203,90.0763
07Trader-Profitable,69.45631765,53.554672,2.2506819,0.0
浙大七哥-只赚有把握的钱,69.34899235,19.763158,1.77835511,96.0
埝哉et,69.04024,0.0,,75.0
Martillero,69.00293463,38.735225,-1.89005116,50.0
Crypto穿越者,68.964375,58.104815,,67.7419
MediciFamily,68.886747,12.939888,,55.5556
橘子头,68.69134666,30.839964,3.73996432,89.336
叶凡--,68.59239,52.011157,,75.2137
小笼包儿,68.503537,0.0,,64.2857
Ankush_deswal,68.41471237,30.04096,3.04423127,70.0
RoboTraderX,67.75421316,21.898536,5.80785872,74.3056
ABGK,67.67681979,25.410971,,58.0
Katylis,67.48934508,8.9187375,7.38443761,90.411
M5tRadER,67.326204,5.3846476,,100.0
AbuCat,67.138988,7.2162146,,33.3333
BuyHighSellHigher,67.134795,72.194702,,70.9677
CryptoNifeCatch,66.86000087,7.3054934,8.88690169,82.312
MCS-TRade,66.818905,6.9028887,,94.1176
wzly,66.65704454,11.146618,9.85644781,48.1818
UpUpUpUpUpUp,66.62753718,48.92583,2.12425343,53.8462
btc老韭,66.57943425,54.673678,1.67672943,66.6667
PersistentSun,66.366126,30.018336,,79.1667
带兄弟们搞个100万,66.25286,43.135763,,45.098
qianask,66.158394,5.5376152,,100.0
SilentSeer,65.845142,11.065973,,74.1036
小杨肖恩,65.674466,13.692857,,76.9231
Prosecutor,65.550074,24.965744,,68.4211
GPSv6-OrderTrade789,65.453599,75.870958,,73.1707
水草先生,65.38954855,24.929636,3.87793542,34.7826
Magic_Algo,65.30969105,9.9494717,8.36642242,99.1837
Lilium_D,65.259129,4.1874353,,91.1469
2Crypto-Champion,65.160588,96.949941,3.64220601,95.6965
CryptoSkyRocket,65.086252,2.5953847,,87.5
Hasan3547,65.05840256,61.7927,1.92838505,75.0
unclelulu,64.38857676,77.49038,4.19021824,84.6154
Goptrade,63.821602,0.0,,92.3077
王哥哥呀,63.70711133,23.980669,2.56154657,60.0
sameryunus,63.68234217,30.715968,5.75647728,87.315
Konsorindo,63.62990463,15.249051,0.46768519,78.6885
Market-Hunter,63.3678911,1.4500818,7.83453979,78.1239
空空稳健玩,63.326898,14.635004,,50.0
龙年牛气冲天,63.326624,11.664464,,0.0
Ace-Joker,63.25154285,64.130731,,68.1818
Lausanne-洛桑,63.243483,36.167026,,42.8571
进击的刘大壮,63.181607,8.4343202,,92.6829
Sheyx_trade_7200,63.020962,2.1825106,,98.2955
kingDymka,62.997987,11.278144,,91.4286
RICHGURU,62.99376045,10.785646,5.46708724,98.2191
Zoltarr,62.99185834,25.989533,5.30248964,31.1111
Actavio,62.8809907,12.293571,7.8092225,98.3402
Falcon1515,62.86634433,20.377395,1.67408924,86.2069
nktrade20,62.862819,18.490245,,88.2353
GoldenGoose_Over999U,62.76509945,22.867088,4.93459852,98.0365
Wise-Traders,62.42257772,62.070203,2.85764795,58.5635
P4ProviderClub,62.31332384,11.446568,2.6937607,100.0
Drifesoul,62.133762,60.760772,,84.2105
JWord777,62.120456,7.4035382,,89.0511
HaiDang999,61.836029,0.65988879,,100.0
山顶资本-美团1号,61.83106278,45.95048,5.97706424,86.1702
MultiKnife,61.79574844,10.521249,5.86832063,76.6129
慢慢来-不急呀,61.727261,93.017756,2.25599161,87.0968
x_Blue,61.40366316,5.6469359,6.28955204,75.6033
水龙果,61.013734,12.619098,,82.3529
Xheroc,61.00907525,44.490857,3.13051953,68.4211
老王只玩索拉那,61.00288393,46.346034,2.03254409,56.25
带单养家,60.855122,9.6979916,,93.5897
100WW,60.78426679,49.029203,3.9608315,67.7686
漠南无王庭,60.576884,4.5591588,,89.8345
Yukai999,60.510738,21.438927,,60.9756
HungryBlackCat,60.369533,25.066839,,73.3333
古长生,60.241825,100.0,-2.26064569,40.0
OMamati,60.231069,59.878006,,84.6154
下一站FAN,60.193114,0.0,,75.0
Aanuj07,59.522971,26.109784,,69.4444
dkmoon798,59.465888,2.1362806,,100.0
Hekaro88,59.436413,68.556049,,99.6377
HellDown,59.327529,11.04672,,50.0
稳稳的幸福呀,59.16024031,64.821753,2.89464305,97.4359
YokaiSwap,58.900027,51.958611,,86.3636
easy10xx,58.510539,23.242986,,93.5484
Rostyslav5010,58.465023,27.634858,,91.6667
1000u挑战1000倍,58.44753,14.298798,,80.0
环悦兴茂资本,58.40883775,66.730183,0.7823418,54.5455
Geminno1491,58.39944934,27.753409,4.49877296,85.7143
LicenceEA,58.2856518,20.116134,6.60296619,85.5104
Grooliant,58.198572,5.5743361,,94.7507
MGU3536,58.1449,46.200964,,92.2717
Miles_L,58.10113697,35.986174,3.83603742,44.4444
