nickname,roi,mdd,sharpRatio,winRate,tradingDays
Doge2024,89.44298774,24.079405,2.90535913,56.1862,133
映月水,89.2299824,24.972291,5.06098589,95.7746,90
GoodFelix,89.08243219,44.278843,4.08777928,62.2449,44
种优得优,88.914721,5.163143,,84.2105,22
nhatvechai88,88.85519945,26.911726,3.88389729,64.2857,125
君安资产003,88.269146,51.629752,,100.0,21
tolive,87.93364,25.002891,,55.3846,8
TheFox007,87.755021,0.0,,85.7143,3
Miles_L,87.41431726,35.986174,3.83603742,44.4444,110
Savior1802,87.281983,0.0,,100.0,34
CoinBiz,86.63689,35.130784,5.25188939,76.3033,90
锤锤,86.53654,0.0,,91.6667,2
dreameBNB,86.427086,7.9374924,,44.4444,8
SiBattt,86.3630995,58.434624,4.15694372,58.3333,40
马得水fans,86.238622,46.059123,,71.7949,24
Binancie,86.02116264,29.692084,4.54148708,95.3488,42
鸿蒙紫气,85.761333,31.417927,,50.0,3
Luckytaotao,85.50314275,53.642541,2.58724743,67.7966,82
SAITUHKAWNG阿杜,84.952943,14.077101,,99.3421,27
Long_way_to_the_top,84.540772,36.799676,,61.8421,15
华尔街强哥,84.51194047,37.72886,2.05628169,69.5652,139
Spaceforcer,84.404403,32.817133,,70.7792,24
马哥哥89590907,83.97735842,53.708623,2.2733871,56.8182,79
静怡Y,83.970104,44.700659,,93.9394,8
功夫茶财经,83.711913,0.0,,100.0,1
MattySol,83.3191,45.237165,,43.8596,10
睡后收入,83.24749179,31.278181,5.87396503,0.0,61
Ajj马丁格尔,83.237131,26.209806,,36.3636,9
littlebird1,82.979314,23.321771,,67.7419,5
金牌猎杀达达,82.900134,0.0,,50.0,0
老和尚打單修身養性,82.745844,53.441277,,100.0,21
DragonMoneyUpVip,82.54087,7.9099824,,94.9843,8
linkboy1980,82.53262,34.801134,,60.0,25
遍地金银稳稳赚,82.19364494,53.042153,3.56845004,81.407,35
楠子,82.18940167,8.7101423,,100.0,28
x2King,81.66389477,24.438519,2.82652514,30.4348,108
Exp0sure,81.52409402,45.441649,3.83491442,98.7864,36
VietNamScalper89,81.34499774,40.235667,3.54152512,99.1071,57
木子和海龟,81.081256,41.133293,,42.8571,12
神剑002,80.644594,3.5374271,,60.2941,22
The_Coin_Stalker,80.62839438,5.3864932,3.68726826,96.0,98
山顶资本-饿了么1号,80.62385268,19.479309,4.77037349,63.1579,75
Kriptopatates,80.598145,0.0,,80.9524,2
My-Trades,80.5723152,26.537504,4.8641812,90.6977,33
FlashCrashBot,80.15055252,4.9217718,11.2545654,81.1383,71
仓老师,80.012853,7.6014039,,60.0,6
Xpert-Trader,79.887638,45.419741,,62.069,24
Trader_AT,79.49688056,44.471256,2.1715602,80.0,168
Nebulae,79.391678,4.4137335,,52.0,27
Sebegu,79.18373567,33.738767,6.90384078,53.3333,34
AI自动化交易,78.905684,5.4696705,,69.637,8
CHAODOI-AI,78.56555457,7.4901494,5.71065219,99.7974,123
茶包,78.47096496,25.736579,3.66406175,0.0,135
五气朝元,78.200379,5.8887999,,78.125,5
FollowMeOutperform,78.145025,0.0,,80.8824,4
Sora9449,78.13871,27.755731,,33.3333,27
福星高高照,78.082858,18.43849,,96.4286,19
CryptoGenus7,78.061215,12.411611,,82.8283,17
潇聲匿迹,77.98854702,43.289514,4.91526284,81.3953,37
ProfitManiac,77.9711457,7.1998218,8.39847447,79.8883,70
unclelulu,77.95592462,77.49038,4.19021824,84.6154,56
Mumuyay,77.95342,13.56119,,67.3913,20
LowRiskAlpha,77.91505865,8.6089805,8.59459951,73.2416,34
LongMonster,77.884842,28.588722,,94.4444,24
07Trader-Profitable,77.81590418,53.554672,2.2506819,0.0,90
mooncaker,77.788497,30.719289,,95.0235,13
UltrechTorito,77.71522614,25.575746,3.36345466,75.7303,47
btc老韭,77.45023228,54.673678,1.67672943,66.6667,101
Phanthangsg,77.40135694,13.760065,7.31777791,93.8889,84
嗝神,77.322467,24.204062,,85.7143,26
Yukai999,77.302651,21.438927,,60.9756,18
CrypTolitz,77.1188059,18.552734,3.76136869,100.0,110
下一站FAN,77.098467,0.0,,85.7143,2
Ace-Joker,77.04922446,64.130731,,68.1818,30
Wise-Traders,76.54313995,62.070203,2.85764795,58.5635,107
Mamypoko,76.36196041,28.056054,1.97751474,97.9592,62
埝哉et,76.317525,0.0,,87.5,1
Rai-Trading-group,76.290474,25.316031,,86.6091,24
sameryunus,75.54252283,30.715968,5.75647728,87.3684,44
BlueBlood45,75.53467435,2.7522503,0.73009086,66.6667,102
TraderFerdi,75.477452,42.51992,,64.8649,19
TheCannes,75.383048,14.56415,,100.0,9
萤火,75.342512,36.324106,,73.1061,22
山顶资本-美团1号,75.24651997,45.95048,5.97706424,87.234,123
X01X,75.20141071,63.276606,2.55158313,37.7778,40
Xheroc,75.09127786,44.490857,3.13051953,68.4211,145
Crypto穿越者,74.693686,58.104815,,67.7419,22
YokaiSwap,74.40215,51.958611,,86.3636,17
小杨肖恩,74.319255,11.567491,,75.0,7
Sonadora,74.20976286,66.893432,1.82297587,55.2795,92
AbuCat,74.052811,7.2162146,,33.3333,8
东八区临时工,73.467914,20.065743,,33.3333,1
JustMe49,73.381318,15.998883,,70.0935,11
HungryBlackCat,73.149698,25.066839,,73.3333,24
ArbitrageTrader,73.121176,0.59758623,,95.4545,6
