nickname,roi,mdd,sharpRatio,winRate
Fib邪教徒,137.64676833,60.119002,4.35741684,45.0
Scalping_machine,137.56805377,56.483842,3.81514306,96.0
NhuquynhCsK,137.514286,69.774958,,72.2222
吴培好,137.086966,7.0012117,,50.0
RoverJr,136.21557053,36.749878,,47.3684
Phuongichi,135.95610101,36.40347,2.95551552,35.9551
Mr_Fantastic_,135.486198,35.143091,,64.1791
干就完事,135.336539,35.434809,,95.0
1000U實盤挑戰,134.98295459,15.355585,5.33084175,93.6709
环悦兴茂资本,134.74778431,66.730183,0.79583534,66.6667
肥樹懶,134.61953396,47.933891,1.86095847,100.0
Nolekusm,134.044147,0.0,,100.0
Jayzilla,133.33564,90.774834,,52.6316
LucidHoang,132.72955137,79.831895,,24.0
AKA所往,132.427884,100.0,-2.99573134,77.7429
短线趋势,132.254566,40.261015,,74.0
Hasan3547,131.849433,61.7927,2.15235478,76.4706
麦田量化资本,129.396079,0.0,,75.0
朱菲特,129.183164,1.9999122,,46.4286
荒-独断万古,128.376528,23.920364,,70.5882
Pepekamikaze,128.213498,35.313203,,41.791
赞美技术,128.154927,8.3637733,,66.6667
Kenzy2024,127.90306949,60.67368,3.6374841,67.0732
ARIARDA,127.056366,36.734701,,65.0
UpUpUpUpUpUp,126.95099224,48.92583,2.17433825,53.3333
Awmmm,126.26211521,29.102496,4.45410073,47.9167
sov_td,126.083041,9.7980056,,79.3103
Hekaro88,125.858376,68.556049,,99.6377
0xToTheMoon,125.45804969,2.8011492,6.50890587,91.4209
Noname1985,125.035968,11.30049,,100.0
Heripotur,124.956225,19.656006,,96.9697
风控官VS交易员,124.734491,62.345014,,60.0
BLUE_TR,124.70374989,13.85651,12.93663683,95.6989
Wolf-AI,124.66257598,9.1774041,6.21582011,75.4032
Anonymous-User-af658,124.55251,13.454156,,50.0
CrystalTABS,123.78311729,40.365917,3.14532979,84.6154
失情,123.7568435,74.703875,,72.0
禿頭老爹,123.69931243,43.060114,2.08732452,93.6937
dream95,123.67819843,59.349574,3.89688301,90.7895
The_Coin_Stalker,123.11812017,5.3864932,3.80892558,96.4286
Prosecutor,123.048113,24.965744,,78.4483
PermiumX_Quant,122.558803,23.89437,,58.8235
Nupita,121.40560873,4.2263908,5.91435103,98.5075
送你一朵小发发,120.86433363,80.878167,4.03807682,53.5714
B必赢,120.63943315,43.049285,4.7023627,91.6667
幣圈老黃,120.461798,43.92284,,63.3333
情况不对立马撤退,120.344999,0.0,,93.75
Magic_Algo2,120.09040462,7.0781375,7.82535307,99.2679
十年币圈俩茫茫,119.554845,49.653735,,75.885
松栏,119.29759313,2.0701584,7.3521936,62.5
TRADERMANX,118.821753,2.6802352,,100.0
马哥哥89590907,117.98246216,53.708623,2.3552245,56.8182
逆天改运,117.906805,0.0,,94.7368
Maedre,117.83813564,24.05636,3.60754966,97.9167
BigStar5566,117.8065348,50.003955,3.66730293,93.0131
Profit_Mike,117.75124768,12.458573,10.27821172,95.1149
Sonadora,117.24806883,66.893432,2.1721071,55.7576
马有才,117.18088546,30.851131,3.13563881,0.0
P4Provider,117.14809772,15.395458,3.77655754,92.1053
我不是归零膏手,117.046803,19.591104,,85.1852
ATaher79,115.848862,62.662023,,60.0
一天一梦,115.670469,41.409553,,66.6667
Luc_COIN_TR,115.21432821,71.437173,6.39631309,92.7536
无名小兵,115.140971,0.0,,82.8571
wolverayn,114.98168,14.340908,,100.0
冰糖橙178二号,114.47708971,76.462206,4.35634945,91.6667
winnermessi,114.391928,33.178812,,90.0
MrOmarCrypto,113.96885883,12.098468,3.90510754,100.0
合约养家,112.598256,18.905642,,97.0
金牌达人鹰眼,112.467565,19.810862,,80.0
XXDogeFatherXX,112.36033745,1.6967717,2.90493772,98.806
Marck3,111.86978238,43.65338,2.85175321,100.0
Tahiri,111.35424165,44.984716,7.01392725,0.0
Te_Dan,110.907214,33.00507,,92.3288
先来百分之一个小目标,110.863433,0.54242925,,100.0
Sora9449,110.790869,27.755731,,40.0
我们儿,110.559319,39.816567,,28.5714
Wise-Traders,110.44797564,62.070203,3.10979188,55.3314
JackChang,110.12820945,10.534471,4.37223244,70.9677
茶包,110.0264896,25.736579,3.73319363,0.0
下雪不打伞,109.24187127,56.640623,3.9255653,78.2609
十倍大军,108.78404,0.0,,77.551
橘子头,108.31387357,30.839964,3.56051595,91.2525
彌樂天堂,108.1790218,15.105795,4.27914007,98.5521
李富有,108.11603886,47.590671,3.55829214,33.3333
2Crypto-Champion,107.639128,96.949941,3.77337679,95.9172
剝頭皮,107.424929,23.894966,,66.9811
交易员悟空,107.16126759,61.240013,4.72878961,63.6364
Chart_gosu,106.77753372,40.823963,4.05816913,0.0
轻易不出手,105.72625,0.0,,72.7273
Dhoni_7,105.40225259,26.569823,1.11160092,89.7849
dreameBNB,105.326401,3.8334104,,44.4444
btc老韭,105.27571018,54.673678,1.98232691,66.6667
SiBattt,104.54037165,58.434624,4.63060667,58.3333
Fight-club-Dubai,104.480673,14.809446,,50.0
山顶资本-美团1号,104.44015325,45.95048,6.05560932,88.1818
天羽7,104.330546,0.0,,0.0
-BEDO-,104.037022,24.737353,,91.6667
稳稳的幸福呀,103.92417272,64.821753,2.9502309,95.5556
Xheroc,103.82587133,44.490857,3.24633537,69.3878
True-Miracle,103.14139005,48.514171,7.98925598,63.9344
hiro-bnb,103.13681224,30.356562,,50.0
Sababa007,103.033377,24.271417,,58.3333
火洋洋,102.18069982,72.478346,3.56741761,73.3333
财神爷爷888,101.762853,0.55795827,,92.4528
Cassandra_OCTA,101.72283388,11.438007,5.77934386,86.8852
小杨肖恩,101.664701,0.0,,70.2703
睡后收入,101.47124486,31.278181,5.91609159,0.0
100WW,101.44321411,49.029203,4.10513683,67.7686
Chebz,101.3737641,71.235133,3.18163918,72.2222
Dinamond_Z,100.299662,0.0,,50.0
Trader_AT,100.00537384,44.471256,2.27773875,72.7273
RoboTraderX,99.82413177,21.898536,5.79860798,74.5645
Coin-Master-AI,99.658015,0.0,,63.75
短线交易员,99.64550886,56.771728,3.22567999,84.6154
