nickname,roi,mdd,sharpRatio,winRate,tradingDays
ToRiches,159.60670122,23.703492,8.47952929,75.0896,38
juliancatano,159.45103074,45.184624,0.70582209,55.303,159
王土豆-911,158.589698,24.005557,,28.5714,16
Procapls,158.23644773,77.740901,3.55729002,75.0,57
光头用飘柔,157.82001571,15.797524,7.34213754,81.3333,83
勇往直前小王子,157.06376766,27.270791,2.60795963,73.1707,101
Khanasfand99,155.708906,21.929951,,50.0,23
61888,154.71152309,68.20034,3.78818678,25.0,34
再爆仓就退圈,154.581146,0.0,,60.0,0
koreaKCY,154.14365292,31.3954,8.42209263,94.9153,30
合约养家,153.876483,18.905642,,95.4955,7
无名小兵,153.750169,3.8079823,,81.0811,6
Marck3,152.71577335,43.65338,2.83351118,94.7368,129
TRADERMANX,152.314918,2.6802352,,99.2,11
KriptoKritik,152.30931758,48.466618,6.36765337,91.1392,46
ErickZhen冲刺100万U,151.149146,0.0,,94.6429,2
Nolekusm,149.878231,0.0,,100.0,4
NICE-INFI,149.09796836,35.347975,4.73237848,81.1024,88
Mr_Fantastic_,148.270065,35.143091,,63.3803,20
送你一朵小发发,148.24827668,80.878167,3.50947863,54.0404,34
量化飞天,147.433227,89.221733,,78.7402,15
一三一九,147.17972798,28.087453,5.99040624,100.0,66
fat_bear,146.91280915,19.291481,6.44662664,79.3478,31
TheMonaco,146.458847,15.961368,,93.9394,9
Kilimanjaru,145.589982,53.572464,,100.0,24
Salahuddin2004,140.932313,14.697489,7.49328152,100.0,43
NANCE_Lee,140.833821,14.61979,,82.4074,9
wolverayn,140.461058,14.340908,,98.4615,11
X268Scalp,140.055198,29.645228,,74.8744,22
Meta_wu,139.71974454,22.24466,7.38566798,73.8462,73
智能ABC,139.655555,0.0,,50.0,1
CurlyDog,137.30373885,14.998375,7.82973433,97.2536,32
Heripotur,137.27453,19.656006,,97.2973,22
DinhNV91,135.375452,7.1206902,,79.2208,8
吴培好,133.845649,36.948219,,66.6667,4
FairTradeW,133.488791,15.817573,,89.7674,13
长鹏,132.91450112,10.1438,5.62097772,100.0,82
I_am_Messi,131.000065,43.003622,,50.0,14
Crypto-Falcon,130.70763747,25.384939,2.25996718,64.0449,120
财神爷爷888,130.014687,0.0,,97.3333,8
fomobot,129.6606622,24.237222,3.32357946,81.25,110
先来百分之一个小目标,129.627268,0.0,,89.4737,6
Noname1985,128.607659,11.30049,,100.0,27
Fomo2024,128.51236367,24.122765,5.20706891,77.7778,147
cryptohabercom,128.23596599,26.9036,4.04135508,55.8824,122
Profit_Mike,128.05005636,12.458573,10.39078786,95.1009,55
Kenzy2024,127.90306949,60.67368,3.6129221,67.0732,76
CryptoHayro,127.84117118,53.107397,4.91986635,88.8889,36
币圈轩爸,127.635085,8.0296902,,90.0,5
Hodler1004,126.84226481,18.440267,3.03463356,65.4383,110
CEOUA,126.625541,43.554251,,65.625,9
LanayaFrv,126.40493982,18.845082,4.81048641,73.2143,44
dream95,126.35238385,59.349574,3.65307403,86.1111,85
drakkar67,125.81977558,29.445573,1.05953009,8.3333,84
Wch999,123.93138,71.984,,66.6667,21
特奥乌昂,123.8959497,41.630388,3.91826448,83.0189,86
Colonel_Alexandro,123.362601,39.382533,,60.0,7
