nickname,roi,mdd,sharpRatio,winRate
东方甄选量化,151.280715,60.010988,3.09055794,94.3705
散修-Wang,150.99565382,48.269889,1.8636881,12.844
Tidewatcher,150.49869512,77.478287,3.10784045,32.8125
PersistentSun,150.246883,0.0,,50.0
BullMasterPRO,150.11696,36.167186,3.73738991,99.8575
MattySol,149.710893,45.237165,,45.4545
Hsin-trader,148.948255,31.700729,3.51475037,47.8873
多豆豆,148.432156,5.9318559,,50.0
紫微斗数_易经预测,148.287875,30.550493,4.85334299,68.5714
alidxb100,148.07138665,50.723975,2.18428319,95.6522
SHTRADERDR,147.760274,1.1129124,,100.0
百倍百倍,147.32328076,53.242933,4.18912636,89.2857
万三哥,147.201352,0.0,,0.0
Jasmine_No1,146.94996944,67.312513,3.07603993,51.0638
fat_bear,146.930149,19.291481,,82.3529
Roger_yl,146.64623381,84.54053,3.52662226,40.0
遍地金银稳稳赚,146.114828,53.042153,3.44575731,81.9905
4平9稳,145.802748,34.256449,,83.7838
Kilimanjaru,145.589982,53.572464,,100.0
交易员悟空,145.264705,61.240013,4.72878961,63.6364
_VD_3520,144.582319,69.0012,3.32075602,74.1935
XXDogeFatherXX,144.15952252,1.6967717,2.90493772,98.8372
0xToTheMoon,143.48884479,14.241635,6.50890587,91.047
Actavio,143.415059,12.293571,7.840889,98.4524
Huynhlongbai,141.407992,0.0,,57.1429
X268Scalp,141.235462,29.645228,,73.5751
重生归来,141.055931,0.0,,80.0
小虎斑,140.43595,92.920924,3.39706023,33.4615
KotTradingClub,139.625408,6.3091006,9.19597604,88.6228
ProfitManiac,139.460859,7.1998218,8.40068496,77.6509
吴培好,139.302969,6.1319712,,50.0
Namkcul,138.712815,69.644667,2.75395066,86.8812
韭菜根57,138.627706,0.0,,8.3333
西红柿的生活,138.498681,71.256858,,77.7778
Boss-trader-2016,137.99928943,73.566542,2.7327217,77.3585
SW3_10000_USDT_min,137.665996,67.691277,4.04215771,66.6667
NhuquynhCsK,137.514286,69.774958,,72.2222
Ginkgo_Partners,137.23850198,45.596601,2.46696457,94.6309
Mr_Fantastic_,136.966533,35.143091,,64.1791
从小就稳健,136.674131,29.213651,3.88633108,87.037
Magic_Algo,136.14277096,12.798385,8.34847795,99.0991
KushBitx,135.85846998,22.750969,2.95936047,100.0
AICoin007,135.55578,20.17092,3.31105608,66.6667
DavidS777,135.194762,27.250665,,73.3333
大作手宏哥,135.16351641,55.711893,3.75305384,38.4615
Nolekusm,134.044147,0.0,,100.0
SuperLuckyMoney,133.811083,59.841598,2.91254411,26.5823
MysticTrader123,133.292468,25.094851,3.77478103,55.0
neowind,133.011094,76.155655,4.04008312,87.8049
短线趋势,132.432387,40.261015,,73.4694
AKA所往,132.427884,100.0,-2.99573134,81.5534
潇聲匿迹,132.345909,43.289514,4.81437621,80.0
B必赢,132.322926,43.049285,4.7023627,93.6709
生活不易多点照顾好吗,132.305904,0.0,,20.0
干就完事,131.883653,35.434809,,100.0
KenjiChiang,131.837772,25.088828,5.79095892,83.3333
LucidHoang,131.476657,79.831895,,24.0
龙行天下八方来财,131.195808,73.06922,3.8304461,64.2857
Anonymous-User-af658,130.966931,13.454156,,50.0
花无缺君,129.770897,35.120738,3.35142972,50.0
麦田量化资本,129.753143,0.0,,75.0
Jayzilla,129.329078,90.774834,,52.6316
荒-独断万古,129.190883,23.920364,,70.5882
VIVUINVEST,129.11249758,67.212945,2.72394421,53.3333
AmbroCapital,128.93097626,30.596287,3.34401454,97.2998
